,Layer,Rule,Category,Description,Value
0,GT,PO.W.1,Width,Width of PO,>= ^PO_W_1 um
1,GT,PO.S.1,Spacing,Space between PO,>= ^PO_S_1 um
2,GT,PO.S.2,Spacing,GATE space in the same OD,>= ^PO_S_2 um
3,GT,PO.W.2,Width,Channel length of 2.5V MOS,>= ^PO_W_2 um
4,GT,PO.W.3,Width,Channel length of 3.3V MOS (except gate without PO CO in RFDMY),>= ^PO_W_3 um
5,GT,PO.W.4,Width,Channel length of 1.8V MOS,>= ^PO_W_4 um
6,GT,PO.W.5,Width,Width of 45 degree FIELD poly,>= ^PO_W_5 um
7,GT,PO.S.16,Spacing,Space to 45 degree FIELD poly,>= ^PO_S_16 um
8,GT,PO.S.2.1,Spacing,Gate space [either one channel length > ^PO_S_2_1_W um],>= ^PO_S_2_1 um
9,GT,PO.S.3,Spacing,"Min. two 1.8V, 2.5V or 3.3V POLY space on OD w/o contact",>= ^PO_S_3 um
10,GT,PO.S.4,Spacing,Field PO space to OD,>= ^PO_S_4 um
11,GT,PO.S.4.1,Spacing,Gate space when the area enclosed by (L-shape OD & PO < ^PO_S_4_1_A um2),>= ^PO_S_4_1 um
12,GT,PO.S.5,Spacing,Space to L-shape OD when PO & OD are in same MOS(channel width < ^PO_S_5_W),>= ^PO_S_5 um
13,GT,PO.S.6,Spacing,L-shape PO space to OD when PO and OD are in same MOS (channel width < ^PO_S_6_W um),>= ^PO_S_6 um
14,GT,PO.S.7,Spacing,"Space if at least one PO width is > 0.13 um, and the PO parallel run length is > 0.18 um (individual projection)",>= 0.18 um
15,GT,PO.S.9,Spacing,Space of {PO AND RPO},>= 0.25 um
16,GT,PO.S.10,Spacing,"Space at PO line-end (W < Q1 = 0.090) in a dense-line-end configuration: If PO has parallel run length with opposite PO (measured with T1 = 0.035 extension) along 2 adjacent edges of PO [any one edge < Q1 distance from the corner of the two edges], then one of the space (S1 or S2) needs to be at least this value (except for small jog with edge length < 0.06 um(R))",>= 0.14 um
17,GT,PO.EX.1,Extension,Extension on OD (end-cap),>= 0.14 um
18,GT,PO.EX.2,Extension,OD extension on PO,>= 0.115 um
19,GT,PO.EX.3,Extension,"Extension on OD (end-cap) when the PO space to L-shape OD (in the same MOS) is < 0.1 um, and the channel width (W) is >= 0.15 um",>= 0.16 um
