,Layer,Rule,Category,Description,Value
0,GT,GT_1a,Length,"Gate minimum channel length for 0.9/1.1/1.2V N/P MOS transistors (std, high, or low VT)",== 0.04
1,GT,GT_1b,Length,GATE minimum channel length for 1.8V N/P MOS transistors,== 0.15
2,GT,GT_1c,Length,GATE minimum channel length for 2.5V N/P MOS transistors,== 0.27
3,GT,GT_1d,Length,Gate minimum channel length for 2.5V overdrive 3.3V NMOS transistors,== 0.55
4,GT,GT_1e,Length,Gate minimum channel length for 2.5V overdrive 3.3V PMOS transistors,== 0.44
5,GT,GT_1fg,Length,Gate minimum channel length for 2.5V underdrive 1.8V NMOS transistors,== 0.24
6,GT,GT_1fg,Length,Gate minimum channel length for 2.5V underdrive 1.8V PMOS transistors,== 0.24
7,GT,GT_1h,Length,Gate channel length for 1.8V underdrive 1.5V N/P MOS transistors,== 0.125
8,GT,GT_2a,Width,Poly minimum width,== 0.04
9,GT,GT_2b_R,Width,Non-floating poly outside of (extend AA W >= 2.5um) region minimum width,== 0.06
10,GT,GT_3,Spacing,Space between two poly,== 0.1
11,GT,GT_3c,Spacing,GT to GT space if one GT's width > 0.12um,>= 0.15
12,GT,GT_4,Spacing,Space between AA and poly on field oxide,== 0.03
13,GT,GT_5,Extension,Extension of AA outside of GATE,== 0.06
14,GT,GT_6,Extension,Extension of poly outside of AA to form poly end-cap,== 0.09
15,GT,GT_6a_R,Extension,Extension E of GT outside of AA to form poly end-cap,== 0.11
16,GT,GT_7,Spacing,(poly_end with length < 0.120) minimum space to (poly_end with length < 0.120) (head to head space) with run length > 0,== 0.1
17,GT,GT_8,Spacing,(poly_end with length < 0.120) minimum space to poly (head to side),> 0.1
18,GT,GT_8a,Spacing,Space between GT line end to line (Dh) or GT line to line (Ds) when the layout structures meet the conditions of below: (Waive the GT small extrusion F < 0.04um),== 0.11
19,GT,GT_10,Spacing,"For GT channel length >= 0.06, minimum gate space to (GT or GTDUM)",== 0.13
20,GT,GT_17,Area,minimum area,== 0.012
21,GT,GT_18,Area,poly minimum enclosed area,== 0.040
22,GT,GT_19,Area,(GT AND AA) area GTAA. GTAA enclose 200x200um area. Maximum area for GTAA (um2),<= 50000
23,GT,GT_21,Restrictions,No bent GATE (45 or 135 degree) on AA are allowed. All gate patterns on AA have to be orthogonal to AA edge,N/A
24,GT,GT_22,Restrictions,"GT must be enclosed by (SN or SP) except the MOM, GTFUSE and (HRP AND GT). Exclude floating GT",N/A
25,GT,GT_24,Spacing,L-shaped GT minimum space to AA,== 0.04
26,GT,GT_25,Spacing,L-shape AA minimum space to poly(in same transistor),== 0.03
27,GT,GT_26,Restrictions,"All memory cell transistor(transistors within INST layer), gate GT direction should be unidirectional in one chip",N/A
28,GT,GT_27,Width,Bent 45 deg GT min width,== 0.16
29,GT,GT_28,Spacing,The space between two bent 45 degree GTs,== 0.16
30,AA,AA_1,Width,AA minimum width (The INST connected area apply SRAM design rule),== 0.06
31,AA,AA_1a,Width,AA minimum width of NMOS/PMOS for 0.9/1.1/1.2V transistor,== 0.12
32,AA,AA_2,Width,AA (enclosure by TG or DG) minimum width of NMOS/PMOS for 1.8/2.5V transistor,== 0.32
33,AA,AA_4a,Spacing,AA minimum space,== 0.08
34,AA,AA_4b_4c,Spacing,The space between two AA with gate along source/drain direction,>= 0.1
35,AA,AA_4b_4c,Spacing,The space between two AA with gate along gate poly direction,>= 0.1
36,AA,AA_4d,Spacing,Space between two AAs inside (DG OR TG),== 0.15
37,AA,AA_9,Area,AA minimum area except floating AA,== 0.02
38,AA,AA_9a,Area,AA minimum area at floating AA,== 0.015
39,AA,AA_10,Restrictions,"DG, TG, or core transistors mixed in the same AA are prohibited",Prohibited
40,AA,AA_11,Restrictions,"N+AA/P+AA crossing the NW, excluding LDMOS area, is not allowed. Waive the AA interact with RESNW",Not allowed
41,AA,AA_12,Length,AA channel width of NMOS/PMOS for 0.9/1.1/1.2V transistor,<= 50
42,AA,AA_13,Area,AA minimum enclosed area (um2),== 0.045
43,AA,AA_14_a,Restrictions,"Waive RESNW, LOGO, seal ring (MARKS) areas. DRC check with the said window size and rule number and highlight as X. Y = X not (DG or TG), Z = (Y area)/(100*100)",Waived
