,Layer,Rule,Category,Description,Value
0,GT,PO.W.1,Width,Width  >=  0.04,>= 0.04
1,GT,PO.W.2,Width,"Channel length of 2.5V MOS (for 2.5V overdrive to 3.3V ,  please refer to section OD25_33 Layout Rules)  >=  0.27",>= 0.27
2,GT,PO.W.3,Width,Channel length of 3.3V MOS  >=  0.42 um,>= 0.42
3,GT,PO.W.4,Width,"Channel length of 1.8 V MOS (For 2.5V underdrive to 1.8V ,  please refer to section OD25_18 Layout Rules. For 1.8V underdrive to 1.5V ,  please refer to section OD18_15 Layout Rules.)  >=  0.15",>= 0.15
4,GT,PO.W.6,Width,"Channel length of core device for GS (This check doesn't include the regions covered by layers of NT_N ,  SDI ,  and VAR.)  =  0.04 / 0.045 / 0.05 / 0.06 / 0.07 / 0.08~10",= 0.04 / 0.045 / 0.05 / 0.06 / 0.07 / 0.08~10
5,GT,PO.W.7,Width,"Width of 45-degree FIELD PO (except PO fuse element ,  POFUSE ,  156;0). (Please make sure the vertex of 45 degree pattern is on 5nm grid (refer to the rule ,  G.6U ,  in section 3.7))  >=  0.17",>= 0.17
6,GT,PO.S.1,Spacing,Space  >=  0.10,>= 0.10
7,GT,PO.S.3,Spacing,{GATE inside OD2} space in the same OD  >=  0.22,>= 0.22
8,GT,PO.S.4,Spacing,FIELD PO space to OD (except CSRDMY (166;0) region)  >=  0.03,>= 0.03
9,GT,PO.S.4.1,Spacing,Gate space [L-shape OD and L-shape PO enclosed area  <  0.0121 um2 ]  >=  0.11,>= 0.11
10,GT,PO.S.6,Spacing,L-shape PO space to OD when PO and OD are in the same MOS L-shape PO length (R1)  <=  0.06 um]  >=  0.04,>= 0.04
11,GT,PO.S.6.1,Spacing,L-shape PO space to OD when PO and OD are in the same MOS [L-shape PO length  >  0.06 um (R1) and L-shape PO length  <=  0.1 um (R1)]  >=  0.05,>= 0.05
12,GT,PO.S.7,Spacing,"Space if at least one {PO OR SR_DPO} width  >  0.12 um ,  and the {PO OR SR_DPO} parallel run length  >  0.14 um (individual projection).  >=  0.16",>= 0.16
13,GT,PO.S.9,Spacing,Space [in same RPO]  >=  0.18,>= 0.18
14,GT,PO.S.10,Spacing,"Space at {PO OR SR_DPO} line-end (W  < 0.07 um (Q1)) in a dense-line-end configuration: If {PO OR SR_DPO} has parallel run length with opposite {PO OR SR_DPO} (measured with T1  =  0.035 um extension) along 2 adjacent edges of {PO OR SR_DPO} [any one edge  <  Q1 distance from the corner of the two edges] ,  then one of the space (S1 or S2) needs to be at least this value (This check doesn't include small jog with edge length  <  0.04 um (R))  >=  0.11",>= 0.11
15,GT,PO.S.16,Spacing,Space to 45-degree bent {PO OR SR_DPO}  >=  0.17,>= 0.17
16,GT,PO.EX.1,Extension,Extension on OD (end-cap)  >=  0.09,>= 0.09
17,AA,OD.W.1,Width,Width  >=  0.06,>= 0.06
18,AA,OD.W.2,Width,Channel width of core device  >=  0.12,>= 0.12
19,AA,OD.W.2.1,Width,"Maximum channel width of core NMOS device for GS and LPG G device  <=  10 (This rule doesn't include the NT_N ,  SR_ESD ,  VAR)",<= 10
